,ISO3,Country,Region,Sub-Region,Latitude,Longitude,Population,Internet Users,Internet % Of Population,Median Age,Gdp Purchasing Power Parity,Education Expenditures
213,UKR,Ukraine,Europe,Eastern Europe,49.0,32.0,43952299.0,23202067.0,52.5,40.8,369600000000.0,5.0
214,ARE,United Arab Emirates,Asia,Western Asia,24.0,54.0,9701315.0,5370299.0,90.6,37.2,696000000000.0,0.0
215,GBR,United Kingdom,Europe,Northern Europe,54.0,-2.0,65105246.0,61064454.0,94.8,40.5,2925000000000.0,5.5
216,USA,United States,Americas,Northern America,38.0,-97.0,329256465.0,246809221.0,76.2,38.2,19490000000000.0,5.0
217,URY,Uruguay,Americas,South America,-33.0,-56.0,3369299.0,2225075.0,66.4,35.1,78160000000.0,4.4
218,UZB,Uzbekistan,Asia,Central Asia,41.0,64.0,30023709.0,13791083.0,46.8,29.1,223000000000.0,6.4
219,VUT,Vanuatu,Oceania,Melanesia,-16.0,167.0,288037.0,66613.0,24.0,22.3,772000000.0,4.7
220,VEN,Venezuela,Americas,South America,8.0,-66.0,31689176.0,18547381.0,60.0,28.7,381600000000.0,6.9
221,VNM,Vietnam,Asia,South-Eastern Asia,16.16666666,107.83333333,97040334.0,49741000.0,52.7,30.9,648700000000.0,5.7
222,WLF,Wallis And Futuna,Oceania,Polynesia,-13.3,-176.2,15763.0,3450.0,22.1,32.8,60000000.0,0.0
223,YEM,Yemen,Asia,Western Asia,15.0,48.0,28667230.0,6732928.0,24.6,19.8,73630000000.0,0.0
224,ZMB,Zambia,Africa,Eastern Africa,-15.0,30.0,16445079.0,3956252.0,25.5,16.8,68930000000.0,0.0
225,ZWE,Zimbabwe,Africa,Eastern Africa,-20.0,30.0,14030368.0,3363256.0,23.1,20.2,34270000000.000004,7.5
226,World,World,World,World,World,World,7503828180.0,3174000000.0,43.0,30.6,127800000000000.0,0.0
