,ISO3,Country,Region,Sub-Region,Latitude,Longitude,Population,Internet Users,Internet % Of Population,Median Age,Gdp Purchasing Power Parity,Education Expenditures
50,HRV,Croatia,Europe,Southern Europe,45.16666666,15.5,4270480.0,3135949.0,72.7,43.3,102100000000.0,4.6
51,CUB,Cuba,Americas,Caribbean,21.5,-80.0,11116396.0,4334022.0,38.8,41.8,137000000000.0,12.8
52,CUW,Curacao,Americas,Caribbean,12.116667,-68.933333,150241.0,138750.0,93.9,36.3,3128000000.0,4.9
53,CYP,Cyprus,Europe,Southern Europe,35.0,33.0,1237088.0,915036.0,75.9,37.2,31780000000.0,6.4
54,CZE,Czechia,Europe,Eastern Europe,49.75,15.5,10686269.0,8141303.0,76.5,42.5,375900000000.0,5.8
55,DNK,Denmark,Europe,Northern Europe,56.0,10.0,5809502.0,5424169.0,97.0,41.9,287800000000.0,7.6
56,DJI,Djibouti,Africa,Eastern Africa,11.5,43.0,884017.0,111212.0,13.1,24.2,3640000000.0,4.5
57,DMA,Dominica,Americas,Caribbean,15.41666666,-61.33333333,74027.0,49439.0,67.0,34.0,783000000.0,3.4
58,DOM,Dominican Republic,Americas,Caribbean,19.0,-70.66666666,10298756.0,6504998.0,61.3,27.3,173000000000.0,0.0
59,ECU,Ecuador,Americas,South America,-2.0,-77.5,16498502.0,8693739.0,54.1,28.1,193000000000.0,5.0
60,EGY,Egypt,Africa,Northern Africa,27.0,30.0,99413317.0,38.0,44.3,23.9,1204000000000.0,0.0
61,SLV,El Salvador,Americas,Central America,13.83333333,-88.91666666,6187271.0,1785254.0,29.0,27.6,51170000000.0,3.8
62,GNQ,Equatorial Guinea,Africa,Middle Africa,2.0,10.0,797457.0,180597.0,23.8,19.9,31520000000.0,0.0
63,ERI,Eritrea,Africa,Eastern Africa,15.0,39.0,5970646.0,69095.0,1.2,19.9,9402000000.0,0.0
64,EST,Estonia,Europe,Northern Europe,59.0,26.0,1244288.0,1097921.0,87.2,43.0,41650000000.0,5.2
65,ETH,Ethiopia,Africa,Eastern Africa,8.0,38.0,108386391.0,15731741.0,15.4,18.0,200600000000.0,4.7
66,FLK,Falkland Islands (Islas Malvinas),Americas,South America,-51.75,-59.0,3198.0,3000.0,98.3,0.0,206400000.0,0.0
67,FRO,Faroe Islands,Europe,Northern Europe,62.0,-7.0,51018.0,47988.0,95.1,37.6,2001000000.0,0.0
68,FJI,Fiji,Oceania,Melanesia,-18.0,175.0,926276.0,425680.0,46.5,29.2,8629000000.0,3.9
69,FIN,Finland,Europe,Northern Europe,64.0,26.0,5537364.0,4822132.0,87.7,42.6,244900000000.0,7.1
70,FRA,France,Europe,Western Europe,46.0,2.0,67364357.0,57226585.0,85.6,41.5,2856000000000.0,5.5
71,PYF,French Polynesia,Oceania,Polynesia,-15.0,-140.0,290373.0,195275.0,68.4,32.4,5490000000.0,0.0
72,GAB,Gabon,Africa,Middle Africa,-1.0,11.75,2119036.0,835408.0,48.1,20.5,36660000000.0,2.7
73,GMB,"Gambia, The",Africa,Western Africa,13.46666666,-16.56666666,2092731.0,371785.0,18.5,21.3,5556000000.0,3.1
74,GEO,Georgia,Asia,Western Asia,42.0,43.5,4003000.0,2464107.0,50.0,38.3,39850000000.0,3.8
75,DEU,Germany,Europe,Western Europe,51.0,9.0,80457737.0,72365643.0,89.6,47.4,4199000000000.0,4.8
76,GHA,Ghana,Africa,Western Africa,8.0,-2.0,28102471.0,9328018.0,34.7,21.2,134000000000.0,4.5
77,GIB,Gibraltar,Europe,Southern Europe,36.13333333,-5.35,29461.0,27699.0,94.4,35.0,2044000000.0,0.0
78,GRC,Greece,Europe,Southern Europe,39.0,22.0,10761523.0,7443016.0,69.1,44.9,299300000000.0,0.0
79,GRL,Greenland,Americas,Northern America,72.0,-40.0,57691.0,39544.0,68.5,34.0,2413000000.0,0.0
80,GRD,Grenada,Americas,Caribbean,12.11666666,-61.66666666,112207.0,62123.0,55.9,32.1,1634000000.0,10.3
81,GUM,Guam,Oceania,Micronesia,13.46666666,144.78333333,167772.0,125328.0,77.0,29.1,5793000000.0,0.0
82,GTM,Guatemala,Americas,Central America,15.5,-90.25,16581273.0,5241952.0,34.5,22.5,138100000000.0,2.8
83,GGY,Guernsey,Europe,Northern Europe,49.46666666,-2.58333333,66697.0,55050.0,83.3,44.0,3465000000.0,0.0
84,GIN,Guinea,Africa,Western Africa,11.0,-10.0,11855411.0,1185148.0,9.8,19.0,27970000000.0,2.2
85,GNB,Guinea-Bissau,Africa,Western Africa,12.0,-15.0,1833247.0,66169.0,3.8,17.8,3171000000.0,2.1
86,GUY,Guyana,Americas,South America,5.0,-59.0,740685.0,262425.0,35.7,26.7,6301000000.0,6.3
87,HTI,Haiti,Americas,Caribbean,19.0,-72.41666666,10788440.0,1282686.0,12.2,23.3,19970000000.0,2.4
88,HND,Honduras,Americas,Central America,15.0,-86.5,9182766.0,2667978.0,30.0,23.3,46300000000.0,6.0
89,HKG,Hong Kong,Asia,Eastern Asia,22.25,114.16666666,7213338.0,6066000.0,85.0,44.8,455900000000.0,3.3
90,HUN,Hungary,Europe,Eastern Europe,47.0,20.0,9825704.0,7826695.0,79.3,42.7,289600000000.0,4.6
91,ISL,Iceland,Europe,Northern Europe,65.0,-18.0,343518.0,329967.0,98.2,36.7,18180000000.0,7.7
92,IND,India,Asia,Southern Asia,20.0,77.0,1296834042.0,374328160.0,29.5,28.1,9474000000000.0,3.8
93,IDN,Indonesia,Asia,South-Eastern Asia,-5.0,120.0,262787403.0,65525226.0,25.4,30.5,3250000000000.0,3.6
94,CIV,Cote D'Ivoire,Africa,Western Africa,8.0,-5.0,26260582.0,6297676.0,26.5,19.9,97160000000.0,4.4
